mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
4.997121596336365,0.0672601370449581,0.014826202392578125,0.0008535537252189414,10,1,2,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.7165714285714285,0.7175714285714285,0.7124285714285714,0.7181428571428572,0.7147142857142857,0.7111428571428572,0.719,0.7211428571428572,0.7154285714285714,0.7191428571428572,0.7165285714285714,0.0029706386312628214,39,0.7339365079365079,0.7325714285714285,0.7360952380952381,0.7360952380952381,0.7378253968253968,0.7318095238095238,0.7341587301587301,0.7333492063492063,0.7348095238095238,0.7348888888888889,0.7345539682539682,0.0017053478050844764
4.924165105819702,0.07936291498332246,0.014821648597717285,0.0008528009699835808,10,1,5,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5}",0.7167142857142857,0.7178571428571429,0.7118571428571429,0.7184285714285714,0.7155714285714285,0.7111428571428572,0.7191428571428572,0.7212857142857143,0.7152857142857143,0.7191428571428572,0.7166428571428571,0.003080054332942453,38,0.7338730158730159,0.7324444444444445,0.7360476190476191,0.736015873015873,0.7375873015873016,0.7316507936507937,0.7340952380952381,0.7331587301587301,0.7348095238095238,0.7347936507936508,0.734447619047619,0.0017052347781985955
4.845281314849854,0.08482770358591395,0.014301538467407227,0.0007788480851467793,10,1,10,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 10}",0.716,0.7172857142857143,0.7117142857142857,0.7181428571428572,0.716,0.7111428571428572,0.719,0.7202857142857143,0.7154285714285714,0.7187142857142857,0.7163714285714284,0.0028615680017381032,41,0.7336507936507937,0.7321746031746031,0.7357301587301587,0.7357301587301587,0.7373968253968254,0.7314285714285714,0.7339682539682539,0.7329682539682539,0.7346349206349206,0.7345238095238096,0.734220634920635,0.001698463876991852
4.87257616519928,0.10643300437891053,0.014861178398132325,0.0006886583209337606,10,2,2,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2}",0.7164285714285714,0.7174285714285714,0.7114285714285714,0.7172857142857143,0.715,0.7108571428571429,0.7187142857142857,0.7211428571428572,0.7157142857142857,0.7192857142857143,0.7163285714285715,0.0030957838346726526,42,0.7333015873015873,0.732031746031746,0.7357301587301587,0.7354920634920635,0.7372222222222222,0.7312539682539683,0.7336507936507937,0.7327619047619047,0.7343492063492063,0.7343492063492063,0.7340142857142856,0.0017146891059777317
4.825398635864258,0.0763978241204025,0.014124321937561034,0.0004522447523274045,10,2,5,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5}",0.7154285714285714,0.7174285714285714,0.7122857142857143,0.7185714285714285,0.7158571428571429,0.7104285714285714,0.7191428571428572,0.721,0.7151428571428572,0.7194285714285714,0.7164714285714286,0.003146134654668503,40,0.7333333333333333,0.7319365079365079,0.7356190476190476,0.7354603174603175,0.7371269841269841,0.7311746031746031,0.7335873015873016,0.7327142857142858,0.7341587301587301,0.7343174603174604,0.7339428571428571,0.0017068651859220108
4.859691023826599,0.11295942482718563,0.014666199684143066,0.0007799638037698447,10,2,10,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 10}",0.7162857142857143,0.7177142857142857,0.7121428571428572,0.7188571428571429,0.7154285714285714,0.711,0.719,0.721,0.7158571428571429,0.7194285714285714,0.7166714285714286,0.0030439300589996483,37,0.7331746031746031,0.7316984126984127,0.7354126984126984,0.7353333333333333,0.7370952380952381,0.7310476190476191,0.7335238095238096,0.7325714285714285,0.7341111111111112,0.7341269841269841,0.7338095238095238,0.0017315416054977315
4.69419538974762,0.06868957023943938,0.014270448684692382,0.0004869215140425425,10,5,2,"{'max_depth': 10, 'min_samples_leaf': 5, 'min_samples_split': 2}",0.7152857142857143,0.7171428571428572,0.7102857142857143,0.7187142857142857,0.7154285714285714,0.7117142857142857,0.718,0.721,0.7145714285714285,0.7192857142857143,0.7161428571428571,0.0031962988800505227,43,0.7314285714285714,0.7303174603174604,0.7336190476190476,0.7339682539682539,0.7352698412698413,0.7294761904761905,0.7317777777777777,0.7311428571428571,0.732031746031746,0.7327460317460317,0.7321777777777777,0.0016655294684210383
4.688858580589295,0.06484887784599533,0.014698410034179687,0.0004447241024476024,10,5,5,"{'max_depth': 10, 'min_samples_leaf': 5, 'min_samples_split': 5}",0.7147142857142857,0.717,0.7097142857142857,0.7184285714285714,0.7151428571428572,0.7115714285714285,0.7171428571428572,0.7208571428571429,0.7154285714285714,0.719,0.7159,0.0032020720332501004,45,0.7314285714285714,0.7303333333333333,0.7336825396825397,0.733984126984127,0.7351587301587301,0.7294126984126984,0.7317619047619047,0.7312222222222222,0.7322063492063492,0.7326666666666667,0.7321857142857142,0.0016537069835989514
4.7675070524215695,0.07725757111057119,0.014457893371582032,0.0004628754206381194,10,5,10,"{'max_depth': 10, 'min_samples_leaf': 5, 'min_samples_split': 10}",0.7145714285714285,0.7174285714285714,0.7108571428571429,0.7182857142857143,0.7155714285714285,0.712,0.7177142857142857,0.7204285714285714,0.7144285714285714,0.7191428571428572,0.7160428571428571,0.0029464956702316687,44,0.7314285714285714,0.7303333333333333,0.7336666666666667,0.734031746031746,0.7351746031746031,0.7294444444444445,0.7317619047619047,0.7311587301587301,0.7321746031746031,0.7327619047619047,0.7321936507936507,0.0016619100680620603
4.53153121471405,0.056020421658443495,0.01471695899963379,0.000690563420423786,10,10,2,"{'max_depth': 10, 'min_samples_leaf': 10, 'min_samples_split': 2}",0.716,0.7158571428571429,0.7102857142857143,0.7165714285714285,0.7145714285714285,0.71,0.7185714285714285,0.721,0.7147142857142857,0.7187142857142857,0.7156285714285714,0.0033210522060187534,46,0.7291904761904762,0.7282380952380952,0.7315873015873016,0.7322063492063492,0.7331746031746031,0.7273968253968254,0.7293015873015873,0.7286507936507937,0.7303650793650793,0.7305555555555555,0.7300666666666665,0.0017523521966814725
