mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_metric,param_n_neighbors,param_weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
0.10016417503356934,0.013494123152229245,28.139249324798584,2.814775263533834,euclidean,3,uniform,"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'uniform'}",0.7624285714285715,0.7498571428571429,0.7601428571428571,0.7498571428571429,0.75,0.7548571428571429,0.7502857142857143,0.758,0.7608571428571429,0.7588571428571429,0.7555142857142857,0.00487149141140868,15,0.8781111111111111,0.8783809523809524,0.8772222222222222,0.8777936507936508,0.8788888888888889,0.8791746031746032,0.8792698412698413,0.8786984126984126,0.8780476190476191,0.8777936507936508,0.8783380952380953,0.0006306223555374551
0.09572231769561768,0.012787528743485392,26.87259473800659,0.5695331094157507,euclidean,3,distance,"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'distance'}",0.7797142857142857,0.7715714285714286,0.7804285714285715,0.769,0.7711428571428571,0.7745714285714286,0.7692857142857142,0.7794285714285715,0.7801428571428571,0.778,0.7753285714285714,0.004484918036700166,8,0.999968253968254,0.9999523809523809,0.9999523809523809,0.999968253968254,0.9999523809523809,0.999968253968254,0.999968253968254,0.999968253968254,0.999968253968254,0.9999523809523809,0.9999619047619047,7.776157913601715e-06
0.09994781017303467,0.021577044433760312,26.82348096370697,0.6809142815430707,euclidean,5,uniform,"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'uniform'}",0.7608571428571429,0.7585714285714286,0.7561428571428571,0.7502857142857143,0.7527142857142857,0.76,0.7587142857142857,0.7557142857142857,0.7622857142857142,0.7597142857142857,0.7575000000000001,0.003576710380063934,13,0.8425873015873016,0.8428253968253968,0.8432698412698413,0.8431428571428572,0.8429523809523809,0.8411587301587301,0.8431904761904762,0.8415555555555555,0.8417777777777777,0.8421746031746031,0.842463492063492,0.0007145607935928288
0.08881864547729493,0.007477726986285006,26.75909380912781,0.4676000332840727,euclidean,5,distance,"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'distance'}",0.7874285714285715,0.7881428571428571,0.7878571428571428,0.7807142857142857,0.7832857142857143,0.7891428571428571,0.7874285714285715,0.7838571428571428,0.7897142857142857,0.7888571428571428,0.7866428571428572,0.0028235525459236435,6,0.999968253968254,0.9999523809523809,0.9999523809523809,0.999968253968254,0.9999523809523809,0.999968253968254,0.999968253968254,0.999968253968254,0.999968253968254,0.9999523809523809,0.9999619047619047,7.776157913601715e-06
0.10043022632598878,0.019021500967142772,26.76393058300018,1.0331594957697638,euclidean,7,uniform,"{'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'uniform'}",0.7625714285714286,0.755,0.7575714285714286,0.7571428571428571,0.7581428571428571,0.7634285714285715,0.756,0.7552857142857143,0.7595714285714286,0.7517142857142857,0.7576428571428571,0.0033522761076678733,11,0.8261904761904761,0.8265873015873015,0.8286031746031746,0.8272063492063492,0.8282222222222222,0.826047619047619,0.8268412698412698,0.8276507936507936,0.8263650793650794,0.8260952380952381,0.8269809523809524,0.0008663759033152326
0.10366249084472656,0.010837804511415474,26.952381491661072,0.4055380970108089,euclidean,7,distance,"{'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'distance'}",0.7954285714285714,0.791,0.794,0.7915714285714286,0.7932857142857143,0.7982857142857143,0.7904285714285715,0.79,0.793,0.7897142857142857,0.7926714285714286,0.002574640850721511,4,0.999968253968254,0.9999523809523809,0.9999523809523809,0.999968253968254,0.9999523809523809,0.999968253968254,0.999968253968254,0.999968253968254,0.999968253968254,0.9999523809523809,0.9999619047619047,7.776157913601715e-06
0.10853216648101807,0.018863026655580647,26.57152888774872,0.9179939793576358,euclidean,9,uniform,"{'metric': 'euclidean', 'n_neighbors': 9, 'weights': 'uniform'}",0.7634285714285715,0.7612857142857142,0.7615714285714286,0.7592857142857142,0.759,0.7595714285714286,0.7574285714285715,0.755,0.7627142857142857,0.7564285714285715,0.7595714285714286,0.0025974870116152954,9,0.815984126984127,0.8167460317460318,0.8184285714285714,0.8153333333333334,0.8173015873015873,0.8143333333333334,0.8164920634920635,0.8176666666666667,0.8144603174603174,0.8176031746031746,0.8164349206349206,0.0013206158423530237
0.10481090545654297,0.01975365069036183,27.061304092407227,0.954201706642397,euclidean,9,distance,"{'metric': 'euclidean', 'n_neighbors': 9, 'weights': 'distance'}",0.8018571428571428,0.7992857142857143,0.802,0.7945714285714286,0.799,0.7994285714285714,0.796,0.7921428571428571,0.8018571428571428,0.7951428571428572,0.7981285714285714,0.0032940577296900163,2,0.999968253968254,0.9999523809523809,0.9999523809523809,0.999968253968254,0.9999523809523809,0.999968253968254,0.999968253968254,0.999968253968254,0.999968253968254,0.9999523809523809,0.9999619047619047,7.776157913601715e-06
0.10240178108215332,0.0037056485068896737,0.02888920307159424,0.0518458294610165,manhattan,3,uniform,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'uniform'}",,,,,,,,,,,,,21,,,,,,,,,,,,
0.1472646713256836,0.06661155154509064,36.36925220489502,3.9135825910563344,manhattan,3,distance,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}",0.6587142857142857,0.6588571428571428,0.6558571428571428,0.662,0.6597142857142857,0.661,0.6562857142857143,0.6544285714285715,0.662,0.6654285714285715,0.6594285714285715,0.0031661474690731794,18,0.999968253968254,0.9999523809523809,0.9999523809523809,0.999968253968254,0.9999523809523809,0.999968253968254,0.999968253968254,0.999968253968254,0.999968253968254,0.9999523809523809,0.9999619047619047,7.776157913601715e-06
