mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
2.6074102878570558,0.03626651654528555,0.01839625835418701,0.0010181684067466427,5,1,2,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.6851428571428572,0.6817142857142857,0.6861714285714285,0.6962285714285714,0.6709714285714286,0.6861714285714285,0.6803428571428571,0.6848,0.6763428571428571,0.6792,0.6827085714285714,0.0064362341632418565,52,0.688584126984127,0.6874285714285714,0.6866666666666666,0.6886857142857142,0.6821460317460317,0.6885206349206349,0.6795301587301588,0.6883555555555556,0.6819047619047619,0.6898666666666666,0.6861688888888888,0.0034121407591631617
2.6192040920257567,0.07924309529994211,0.019435572624206542,0.0007865642916597602,5,1,5,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 5}",0.6851428571428572,0.6817142857142857,0.6861714285714285,0.6961142857142857,0.6709714285714286,0.6861714285714285,0.6803428571428571,0.6846857142857142,0.6763428571428571,0.6792,0.6826857142857142,0.00640861664846156,57,0.688584126984127,0.687415873015873,0.6866539682539683,0.6886730158730159,0.6821333333333334,0.6885079365079365,0.6795301587301588,0.6883555555555556,0.6818920634920634,0.6898539682539683,0.6861599999999999,0.0034113876257147674
2.702356958389282,0.046084992802368344,0.01948692798614502,0.001365051867018379,5,1,10,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 10}",0.6851428571428572,0.6817142857142857,0.6861714285714285,0.6962285714285714,0.6709714285714286,0.6861714285714285,0.6804571428571429,0.6849142857142857,0.6763428571428571,0.6793142857142858,0.6827428571428572,0.006429726880288306,49,0.688584126984127,0.687415873015873,0.6866539682539683,0.6886730158730159,0.6821333333333334,0.6885079365079365,0.6795301587301588,0.6883555555555556,0.6818920634920634,0.6898539682539683,0.6861599999999999,0.0034113876257147674
2.6645051717758177,0.030596070423565488,0.01986551284790039,0.0012927173688185864,5,2,2,"{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 2}",0.6851428571428572,0.6817142857142857,0.6861714285714285,0.6962285714285714,0.6709714285714286,0.6861714285714285,0.6803428571428571,0.6849142857142857,0.6763428571428571,0.6793142857142858,0.6827314285714287,0.006433879713148612,51,0.688584126984127,0.687415873015873,0.6866539682539683,0.6886730158730159,0.6821333333333334,0.6885079365079365,0.6795301587301588,0.6883555555555556,0.6818920634920634,0.6898539682539683,0.6861599999999999,0.0034113876257147674
2.7582260847091673,0.1058247473960057,0.019542598724365236,0.0014650473819448563,5,2,5,"{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 5}",0.6851428571428572,0.6817142857142857,0.6861714285714285,0.6961142857142857,0.6709714285714286,0.6861714285714285,0.6803428571428571,0.6848,0.6763428571428571,0.6792,0.6826971428571429,0.006412273944776304,54,0.688584126984127,0.687415873015873,0.6866539682539683,0.6886730158730159,0.6821333333333334,0.6885079365079365,0.6795301587301588,0.6883555555555556,0.6818920634920634,0.6898539682539683,0.6861599999999999,0.0034113876257147674
2.7917296171188353,0.02621550371632958,0.02104504108428955,0.002360961859788751,5,2,10,"{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 10}",0.6851428571428572,0.6817142857142857,0.6861714285714285,0.6962285714285714,0.6709714285714286,0.6862857142857143,0.6804571428571429,0.6848,0.6763428571428571,0.6793142857142858,0.6827428571428571,0.006432164075478603,50,0.688584126984127,0.687415873015873,0.6866539682539683,0.6886730158730159,0.6821333333333334,0.6885079365079365,0.6795301587301588,0.6883555555555556,0.6818920634920634,0.6898539682539683,0.6861599999999999,0.0034113876257147674
3.0795101881027223,0.053217177734101354,0.021619486808776855,0.0028676892481378923,5,5,2,"{'max_depth': 5, 'min_samples_leaf': 5, 'min_samples_split': 2}",0.6850285714285714,0.6816,0.6859428571428572,0.6962285714285714,0.6709714285714286,0.6861714285714285,0.6802285714285714,0.6846857142857142,0.6763428571428571,0.6792,0.68264,0.006422297891259922,59,0.6885206349206349,0.6873650793650794,0.686615873015873,0.6886476190476191,0.6821079365079366,0.6884571428571429,0.679415873015873,0.6882666666666667,0.6818539682539683,0.6898031746031746,0.6861053968253968,0.0034179390695261336
2.941137504577637,0.06338923567969362,0.0209810733795166,0.002448304600970738,5,5,5,"{'max_depth': 5, 'min_samples_leaf': 5, 'min_samples_split': 5}",0.6850285714285714,0.6816,0.6860571428571428,0.6961142857142857,0.6709714285714286,0.6860571428571428,0.6802285714285714,0.6845714285714286,0.6763428571428571,0.6792,0.6826171428571428,0.0063943750791661536,60,0.6885206349206349,0.6873650793650794,0.686615873015873,0.6886476190476191,0.6821079365079366,0.6884571428571429,0.679415873015873,0.6882666666666667,0.6818539682539683,0.6898031746031746,0.6861053968253968,0.0034179390695261336
2.9174360275268554,0.049004278924837996,0.02059981822967529,0.0015004282102715507,5,5,10,"{'max_depth': 5, 'min_samples_leaf': 5, 'min_samples_split': 10}",0.6850285714285714,0.6816,0.6860571428571428,0.6962285714285714,0.6709714285714286,0.6860571428571428,0.6803428571428571,0.6846857142857142,0.6763428571428571,0.6792,0.6826514285714285,0.006417893353900543,58,0.6885206349206349,0.6873650793650794,0.686615873015873,0.6886476190476191,0.6821079365079366,0.6884571428571429,0.679415873015873,0.6882666666666667,0.6818539682539683,0.6898031746031746,0.6861053968253968,0.0034179390695261336
2.823911666870117,0.10341219102189877,0.020306849479675294,0.001673527001197388,5,10,2,"{'max_depth': 5, 'min_samples_leaf': 10, 'min_samples_split': 2}",0.6849142857142857,0.6817142857142857,0.6861714285714285,0.6962285714285714,0.6712,0.6862857142857143,0.6802285714285714,0.6848,0.6763428571428571,0.6792,0.6827085714285714,0.006397152427734808,52,0.6884698412698412,0.6873142857142858,0.6865396825396826,0.6885460317460318,0.6819555555555555,0.6883301587301587,0.6793523809523809,0.6882158730158731,0.6817650793650794,0.6896634920634921,0.6860152380952382,0.003418223301906746
