mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_metric,param_n_neighbors,param_weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
0.13153595924377443,0.023827138791525045,60.11849868297577,5.78657770477724,euclidean,3,uniform,"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'uniform'}",0.5997714285714286,0.5988571428571429,0.6002285714285714,0.5884571428571429,0.6066285714285714,0.5953142857142857,0.596,0.6057142857142858,0.5947428571428571,0.6065142857142857,0.5992228571428572,0.005596687066689446,14,0.7675174603174603,0.7668190476190476,0.7654095238095238,0.7664761904761904,0.7656888888888889,0.7642412698412698,0.7681904761904762,0.7651682539682539,0.7647111111111111,0.7665396825396825,0.7660761904761905,0.001188414723084428
0.148049259185791,0.022982862793196314,55.37913949489594,1.888539330162031,euclidean,3,distance,"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'distance'}",0.6317714285714285,0.6373714285714286,0.6362285714285715,0.6258285714285714,0.6379428571428571,0.6349714285714285,0.6313142857142857,0.6435428571428572,0.6318857142857143,0.6378285714285714,0.6348685714285714,0.004630602728873773,10,0.9998349206349206,0.9998476190476191,0.9998476190476191,0.9998349206349206,0.9998222222222222,0.9998222222222222,0.9998349206349206,0.9998730158730159,0.9998476190476191,0.9998476190476191,0.9998412698412699,1.4197257000031385e-05
0.14362812042236328,0.030212722352770296,54.53377723693848,0.8529659433215407,euclidean,5,uniform,"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'uniform'}",0.5923428571428572,0.5798857142857143,0.5782857142857143,0.5768,0.5862857142857143,0.5850285714285715,0.5846857142857143,0.5939428571428571,0.5828571428571429,0.584,0.5844114285714286,0.005255950175267829,19,0.7231746031746031,0.7034666666666667,0.7033269841269841,0.7069968253968254,0.7020190476190477,0.7018666666666666,0.7158730158730159,0.7021587301587302,0.7012698412698413,0.7112888888888889,0.707144126984127,0.0070138730468378005
0.14698312282562256,0.024348576348187233,54.48438994884491,0.7181470936643318,euclidean,5,distance,"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'distance'}",0.6456,0.6408,0.6388571428571429,0.6346285714285714,0.6398857142857143,0.6430857142857143,0.6403428571428571,0.6531428571428571,0.6412571428571429,0.6401142857142857,0.6417714285714285,0.004634211730957795,7,0.9998349206349206,0.9998476190476191,0.9998476190476191,0.9998603174603174,0.9998349206349206,0.9998222222222222,0.9998603174603174,0.9998730158730159,0.9998730158730159,0.9998476190476191,0.9998501587301588,1.5860312376902886e-05
0.15220556259155274,0.030634297156560363,54.29894163608551,1.0671236793613688,euclidean,7,uniform,"{'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'uniform'}",0.5870857142857143,0.5808,0.5749714285714286,0.5755428571428571,0.584,0.5806857142857142,0.5826285714285714,0.5926857142857143,0.5748571428571428,0.5843428571428572,0.58176,0.005428078173079421,21,0.6976634920634921,0.6801269841269841,0.6821333333333334,0.6793015873015873,0.6805714285714286,0.6781968253968254,0.6885460317460318,0.6794412698412698,0.6786666666666666,0.6894222222222223,0.6834069841269842,0.006070085802340067
0.1401315450668335,0.0189453025126579,54.24148218631744,1.0886011017569899,euclidean,7,distance,"{'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'distance'}",0.6528,0.6482285714285714,0.6506285714285714,0.6441142857142858,0.6500571428571429,0.6499428571428572,0.6513142857142857,0.6656,0.6453714285714286,0.6497142857142857,0.6507771428571428,0.005536915814304364,4,0.9998349206349206,0.9998476190476191,0.9998476190476191,0.9998603174603174,0.9998349206349206,0.9998222222222222,0.9998603174603174,0.9998730158730159,0.9998730158730159,0.9998476190476191,0.9998501587301588,1.5860312376902886e-05
0.14342236518859863,0.020497346545839644,54.14815709590912,0.8153483452999418,euclidean,9,uniform,"{'metric': 'euclidean', 'n_neighbors': 9, 'weights': 'uniform'}",0.5861714285714286,0.5817142857142857,0.5755428571428571,0.5726857142857142,0.5860571428571428,0.5777142857142857,0.5876571428571429,0.5873142857142857,0.5770285714285714,0.5897142857142857,0.58216,0.005700658035772395,20,0.6744507936507936,0.6628571428571428,0.6650412698412699,0.6595682539682539,0.6639873015873016,0.6617650793650793,0.6704634920634921,0.6637460317460318,0.664647619047619,0.6710222222222222,0.6657549206349206,0.004438689425900622
0.13521358966827393,0.020833662273750095,54.6332284450531,1.0315613993853097,euclidean,9,distance,"{'metric': 'euclidean', 'n_neighbors': 9, 'weights': 'distance'}",0.6585142857142857,0.6586285714285715,0.6548571428571428,0.6505142857142857,0.6554285714285715,0.6514285714285715,0.6577142857142857,0.6669714285714285,0.6530285714285714,0.6584,0.6565485714285714,0.004480466448020415,3,0.9998349206349206,0.9998476190476191,0.9998476190476191,0.9998603174603174,0.9998349206349206,0.9998222222222222,0.9998603174603174,0.9998730158730159,0.9998730158730159,0.9998476190476191,0.9998501587301588,1.5860312376902886e-05
0.3283142805099487,0.1449227348495924,198.0362590074539,4.059796909160722,manhattan,3,uniform,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'uniform'}",0.6011428571428571,0.5834285714285714,0.5888,0.5838857142857143,0.5883428571428572,0.5888,0.5898285714285715,0.5886857142857143,0.5845714285714285,0.5938285714285715,0.5891314285714285,0.004986957683676036,18,0.7630095238095238,0.7529142857142858,0.7520126984126985,0.757015873015873,0.7516825396825397,0.7518857142857143,0.7581333333333333,0.7536,0.7530793650793651,0.7541968253968254,0.754753015873016,0.0034306909380504044
0.34697442054748534,0.19986205714684857,197.37975897789002,4.281690475480845,manhattan,3,distance,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}",0.6358857142857143,0.6202285714285715,0.6332571428571429,0.6211428571428571,0.6264,0.6290285714285714,0.6299428571428571,0.6297142857142857,0.6243428571428571,0.6314285714285715,0.628137142857143,0.0048219362695659015,12,0.9998349206349206,0.9998476190476191,0.9998476190476191,0.9998603174603174,0.9998222222222222,0.9998222222222222,0.9998603174603174,0.9998730158730159,0.9998730158730159,0.9998476190476191,0.999848888888889,1.7457431218904926e-05
