mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
239.58513941764832,2.609381651945642,0.4987253427505493,0.023025737925175968,,sqrt,100,"{'max_depth': None, 'max_features': 'sqrt', 'n_estimators': 100}",0.8505142857142857,0.8466285714285714,0.8474285714285714,0.8405714285714285,0.8441142857142857,0.8457142857142858,0.8482285714285714,0.8446857142857143,0.8472,0.8498285714285714,0.8464914285714287,0.002762217387889514,3,0.9999365079365079,0.9999746031746032,0.9999365079365079,0.9999365079365079,0.9999492063492064,0.9999492063492064,0.9999492063492064,0.9999365079365079,0.9999492063492064,0.9999365079365079,0.9999453968253971,1.1428571428589378e-05
470.30194544792175,1.2587336494366927,0.9517054319381714,0.02013880096729932,,sqrt,200,"{'max_depth': None, 'max_features': 'sqrt', 'n_estimators': 200}",0.8509714285714286,0.8469714285714286,0.8466285714285714,0.8449142857142857,0.8441142857142857,0.8477714285714286,0.8460571428571428,0.8462857142857143,0.8477714285714286,0.8508571428571429,0.8472342857142857,0.0021332278885505497,2,0.9999365079365079,0.9999746031746032,0.9999365079365079,0.9999365079365079,0.9999492063492064,0.9999492063492064,0.9999492063492064,0.9999365079365079,0.9999492063492064,0.9999365079365079,0.9999453968253971,1.1428571428589378e-05
704.3936347723007,2.70399500912623,1.4134712219238281,0.015548619975383692,,sqrt,300,"{'max_depth': None, 'max_features': 'sqrt', 'n_estimators': 300}",0.8500571428571428,0.8496,0.8508571428571429,0.8441142857142857,0.8454857142857143,0.8478857142857142,0.8472,0.8470857142857143,0.848,0.8522285714285714,0.8482514285714287,0.0023476188544383257,1,0.9999365079365079,0.9999746031746032,0.9999365079365079,0.9999365079365079,0.9999492063492064,0.9999492063492064,0.9999492063492064,0.9999365079365079,0.9999492063492064,0.9999365079365079,0.9999453968253971,1.1428571428589378e-05
145.30313103199006,0.41621097858636913,0.7918638229370117,0.0052680478783861595,,log2,100,"{'max_depth': None, 'max_features': 'log2', 'n_estimators': 100}",0.8381714285714286,0.8361142857142857,0.8373714285714285,0.8317714285714286,0.836,0.8361142857142857,0.8357714285714286,0.8356571428571429,0.8362285714285714,0.8428571428571429,0.8366057142857143,0.0026091456104109048,6,0.9999365079365079,0.9999746031746032,0.9999365079365079,0.9999365079365079,0.9999492063492064,0.9999492063492064,0.9999492063492064,0.9999365079365079,0.9999492063492064,0.9999365079365079,0.9999453968253971,1.1428571428589378e-05
290.83563554286957,0.8864583136604448,1.580165934562683,0.025482848089996395,,log2,200,"{'max_depth': None, 'max_features': 'log2', 'n_estimators': 200}",0.8387428571428571,0.8364571428571429,0.8417142857142857,0.8364571428571429,0.8323428571428572,0.84,0.8374857142857143,0.8387428571428571,0.8394285714285714,0.8422857142857143,0.8383657142857143,0.0027385919218250974,5,0.9999365079365079,0.9999746031746032,0.9999365079365079,0.9999365079365079,0.9999492063492064,0.9999492063492064,0.9999492063492064,0.9999365079365079,0.9999492063492064,0.9999365079365079,0.9999453968253971,1.1428571428589378e-05
437.00993983745576,2.0305996130714483,2.361426043510437,0.03990885739414761,,log2,300,"{'max_depth': None, 'max_features': 'log2', 'n_estimators': 300}",0.8418285714285715,0.8397714285714286,0.8403428571428572,0.8354285714285714,0.8371428571428572,0.8393142857142857,0.8416,0.8363428571428572,0.8402285714285714,0.8436571428571429,0.8395657142857142,0.0024600912543220575,4,0.9999365079365079,0.9999746031746032,0.9999365079365079,0.9999365079365079,0.9999492063492064,0.9999492063492064,0.9999492063492064,0.9999365079365079,0.9999492063492064,0.9999365079365079,0.9999453968253971,1.1428571428589378e-05
5.033834934234619,0.18162019061060025,0.10640501976013184,0.0011365547503480976,10,sqrt,100,"{'max_depth': 10, 'max_features': 'sqrt', 'n_estimators': 100}",0.6291428571428571,0.6333714285714286,0.6339428571428571,0.6330285714285714,0.6344,0.6377142857142857,0.6315428571428572,0.6329142857142858,0.6382857142857142,0.6346285714285714,0.6338971428571428,0.00254485314920534,10,0.6353777777777778,0.6386539682539683,0.6395555555555555,0.6403428571428571,0.6402031746031746,0.6400126984126984,0.6377650793650793,0.6372698412698413,0.6396698412698413,0.6400253968253968,0.638887619047619,0.0015400531054639687
9.747940635681152,0.09547539904999876,0.19874053001403807,0.008498455633499314,10,sqrt,200,"{'max_depth': 10, 'max_features': 'sqrt', 'n_estimators': 200}",0.6300571428571429,0.6321142857142857,0.6323428571428571,0.6331428571428571,0.6324571428571428,0.6342857142857142,0.6337142857142857,0.6294857142857143,0.6381714285714286,0.6309714285714285,0.6326742857142856,0.002334591691784015,11,0.6363047619047619,0.6385777777777778,0.6366222222222222,0.6381460317460318,0.6368380952380952,0.6373079365079365,0.6396190476190476,0.6351238095238095,0.6394412698412698,0.6350730158730159,0.6373053968253968,0.001538498513810371
14.627221488952637,0.31103298781892896,0.2942631244659424,0.014439335880406462,10,sqrt,300,"{'max_depth': 10, 'max_features': 'sqrt', 'n_estimators': 300}",0.6325714285714286,0.6315428571428572,0.6302857142857143,0.6329142857142858,0.6326857142857143,0.6301714285714286,0.6323428571428571,0.6305142857142857,0.6350857142857143,0.6310857142857142,0.63192,0.001440226739518627,12,0.637320634920635,0.6369523809523809,0.6355174603174604,0.6386539682539683,0.6374984126984127,0.634768253968254,0.6377142857142857,0.6366730158730158,0.6365460317460317,0.6356063492063492,0.6367250793650794,0.0011080331062632745
1.529348659515381,0.06877100949538317,0.10815212726593018,0.003860874384705392,10,log2,100,"{'max_depth': 10, 'max_features': 'log2', 'n_estimators': 100}",0.6005714285714285,0.6008,0.6008,0.6003428571428572,0.6019428571428571,0.6014857142857143,0.6009142857142857,0.6006857142857143,0.6009142857142857,0.6008,0.6009257142857143,0.000438028980496834,16,0.6009777777777778,0.6009396825396826,0.6009396825396826,0.6009904761904762,0.6008126984126985,0.6008888888888889,0.6009396825396826,0.6009523809523809,0.6009269841269841,0.6009396825396826,0.6009307936507937,4.7189597907447584e-05
